id,title,year,rating,category,cast,director,summary,poster,created_at,updated_at
318,A Beginner's Guide to Endings,2010,3,Comedies,"Scott Caan, Paulo Costanzo, Jason Jones, Tricia Helfer, J.K. Simmons, Harvey Keitel",Jonathan Sobol,"When their father kicks the bucket, three unsuspecting brothers learn that their dad's gambling and reckless ways have doomed them all to die. With only a few days left to live, they set out to try to make amends. But time's running out quickly.",http://netflixroulette.net/api/posters/70135892.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
319,Monkey Trouble,1994,3,Children & Family Movies,"Thora Birch, Harvey Keitel, Mimi Rogers, Christopher McDonald, Alison Elliott, Victor Argo, Remy Ryan, Adam LaVorgna, Jo Champa, John Lafayette",Franco Amurri,"When Eva (Thora Birch) secretly adopts a mischievous capuchin monkey, her life turns upside down in this slapstick family comedy. Eva's mother (Mimi Rogers) and allergic stepfather (Christopher McDonald) raise objections, especially when the animal begins stealing everything in sight, but Eva is concerned about protecting her new pet from Azro (Harvey Keitel), who wants to find him and use him as part of an important robbery.",http://netflixroulette.net/api/posters/60023861.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
320,The Outsider,2006,3,Documentaries,"Woody Allen, Robert Downey Jr., Neve Campbell, James Toback, Harvey Keitel, Mike Tyson, Jim Brown, John Calley, Damon Dash, Roger Ebert",Nicholas Jarecki,"Following maverick writer-director James Toback through the process of making his 2004 drama When Will I Be Loved, this documentary provides a fascinating look inside the world of filmmaking. Toback, whose previous screenplays include The Gambler and Bugsy, shot the movie in 12 days without a script and battled to get it released. Woody Allen, Robert Downey Jr., Harvey Keitel, Brooke Shields, Roger Ebert and many others discuss Toback and his work.",http://netflixroulette.net/api/posters/70061693.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
321,The Young Americans,1993,3,Dramas,"Harvey Keitel, Iain Glen, John Wood, Terence Rigby, Keith Allen, Craig Kelly, Thandie Newton, Viggo Mortensen, Dave Duffy, Geoffrey McGivern",Danny Cannon,"In London, the growing presence of a unique mob of young American drug dealers prompts Scotland Yard to recruit DEA agent John Harris to combat them.",http://netflixroulette.net/api/posters/70023438.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
322,The Last Godfather,2010,3,Comedies,"Hyung-rae Shim, Harvey Keitel, Jocelin Donahue, Michael Rispoli, Jason Mewes, John Pinette, Josh Rosenthal, Paul Hipp, Jon Polito, Blake Clark, Debra Mooney, Logan Shea, Jack Kehler",Hyung-rae Shim,"When he discovers that Younggu may be his illegitimate son, an aging American mob boss decides to groom the lad to succeed him as the next godfather.",http://netflixroulette.net/api/posters/70140537.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
323,The Grey Zone,2001,3,Independent Movies,"David Arquette, Steve Buscemi, Harvey Keitel, Allan Corduner, Mira Sorvino, Natasha Lyonne, Daniel Benzali, David Chandler, Lisa Benavides, Henry Stram",Tim Blake Nelson,"Based on actual events, this is the staggeringly powerful story of Auschwitz's 12th Sonderkommando -- one of 13 ""special squads"" of Jewish prisoners forced by the Nazis to help exterminate fellow Jews in exchange for a few more months of life.",http://netflixroulette.net/api/posters/60024977.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
324,Adore,2013,3,Dramas,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Sophie Lowe, Jessica Tovey, Gary Sweet, Alyson Standen, Skye Sutherland",Anne Fontaine,"In this seaside drama adapted from a novella by Nobel Prize winner Doris Lessing, two lifelong friends who fall in love with each other's teenage sons must carry out their affairs in relative secrecy.",http://netflixroulette.net/api/posters/70267398.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
325,Gettin' Square,2003,3,Comedies,"Sam Worthington, David Wenham, Timothy Spall, Freya Stafford, Gary Sweet, David Roberts, David Field, Mitchell Butel, Garry Waddell, John Brumpton",Jonathan Teplitzky,"Determined to stay on the straight and narrow, parolees Barry (Sam Worthington) and Spit (David Wenham) get restaurant jobs -- where they end up tangling with local gangster Chicka (Gary Sweet). Barry and Spit's employer (Timothy Spall) is also a reformed ex-con, and together, the three conspire to bring down the crime boss. This much-nominated Australian comedy also stars Freya Stafford and Steven Tandy.",http://netflixroulette.net/api/posters/70064121.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
326,Nightmares,1980,2,Horror Movies,"Jenny Neumann, Gary Sweet, Nina Landis, Max Phipps, John Michael Howson, Edmund Pegge, Sue Jones, Briony Behets, Maureen Edwards, Peter Tulloch",John D. Lamond,"This dark and bloody thriller begins with a little girl trying to stop her mother from carrying on with a man in a car -- with horrific results. Years later, the same girl is acting in a play that is hit by a rash of brutal slayings.",http://netflixroulette.net/api/posters/70206995.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
327,"Girl, Interrupted",1999,3,Oscar-winning Movies,"Winona Ryder, Angelina Jolie, Whoopi Goldberg, Clea DuVall, Brittany Murphy, Elisabeth Moss, Jared Leto, Jeffrey Tambor, Vanessa Redgrave, Angela Bettis",James Mangold,"Diagnosed with a disorder, Susanna Kaysen is sent to a mental institution, where she enters the skewed world of people who truly belong on the inside. Angelina Jolie won an Oscar for her portrayal of a seductive patient who befriends Kaysen.",http://netflixroulette.net/api/posters/60000428.jpg,2016-04-29 16:22:15 UTC,2016-04-29 16:22:15 UTC
